C,Si,Mn,P,S,Cu,Al,N2,Nb,Ti,Total,UTS
0.137,0.177,0.9,0.008,0.007,0.035,0.036,0.057,0.032,0.003,1.392,566
0.148,0.213,0.921,0.009,0.003,0.008,0.033,0.049,0.034,0.002,1.42,575
0.137,0.194,0.896,0.007,0.005,0.025,0.031,0.045,0.029,0.002,1.371,602
0.135,0.207,0.895,0.007,0.005,0.015,0.033,0.034,0.03,0.002,1.363,549
0.146,0.182,0.912,0.01,0.004,0.008,0.029,0.035,0.032,0.002,1.36,587
0.144,0.185,0.883,0.011,0.004,0.01,0.03,0.039,0.032,0.002,1.34,569
0.149,0.206,0.903,0.007,0.004,0.009,0.035,0.039,0.031,0.003,1.386,559
0.141,0.227,0.903,0.007,0.005,0.026,0.031,0.039,0.036,0.003,1.418,562
0.142,0.209,0.867,0.011,0.006,0.012,0.03,0.047,0.03,0.002,1.356,576
0.151,0.22,1.067,0.01,0.008,0.032,0.037,0.038,0.038,0.003,1.604,580
0.14,0.184,0.884,0.009,0.006,0.024,0.035,0.038,0.038,0.003,1.361,570
0.14,0.184,0.884,0.009,0.006,0.024,0.035,0.038,0.038,0.003,1.361,570
0.137,0.205,0.89,0.008,0.004,0.014,0.035,0.031,0.032,0.003,1.359,574
0.14,0.157,0.6,0.011,0.002,0.024,0.036,0.053,0.002,0.002,1.027,443
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.138,0.18,0.545,0.008,0.003,0.012,0.029,0.044,0.002,0.002,0.963,432
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.132,0.144,0.55,0.004,0.006,0.012,0.039,0.038,0.001,0.002,0.928,438
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.131,0.177,0.536,0.007,0.005,0.025,0.041,0.049,0.002,0.002,0.975,434
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.144,0.193,0.556,0.013,0.004,0.013,0.033,0.035,0.002,0.002,0.995,438
0.137,0.173,0.56,0.016,0.005,0.012,0.048,0.045,0.001,0.002,0.999,430
